10
0.17831:53.7105,81.3148;0.861727	0.155397:-10.4714,22.0538;0.679495	0.163571:43.5464,-71.4186;1.14568	0.180418:-63.4472,-19.7398;-0.651396	0.151293:62.1111,29.1453;1.26388	0.197278:-48.6312,47.56;0.0615239	0.128331:-31.5957,63.8381;-0.252766	0.108606:-65.993,29.9984;1.1383	0.14577:-84.5107,-63.9471;-1.10407	0.153976:-32.0985,47.3708;0.888904	
0.17831:53.553,81.2881;0.884401	0.155397:-10.628,21.956;0.697377	0.163571:43.5487,-71.4117;1.17584	0.180418:-63.3103,-19.7379;-0.668539	0.151293:61.9608,29.3195;1.29714	0.197278:-48.8189,47.3833;0.0631432	0.128331:-31.6507,63.8983;-0.259418	0.108606:-66.1097,29.9287;1.16825	0.14577:-84.4351,-64.2523;-1.13314	0.153976:-32.2866,47.248;0.912293	
0.17831:53.3955,81.2614;0.907074	0.155397:-10.7846,21.8581;0.715258	0.163571:43.5509,-71.4048;1.206	0.180418:-63.1733,-19.736;-0.685681	0.151293:61.8105,29.4936;1.3304	0.197278:-49.0066,47.2067;0.0647629	0.128331:-31.7056,63.959;-0.26607	0.108606:-66.2264,29.8591;1.19819	0.14577:-84.3596,-64.5575;-1.1622	0.153976:-32.4747,47.1251;0.935682	
0.17831:53.2379,81.2347;0.929748	0.155397:-10.9412,21.7603;0.73314	0.163571:43.5532,-71.398;1.23616	0.180418:-63.0364,-19.7341;-0.702823	0.151293:61.6602,29.6677;1.36366	0.197278:-49.1943,47.0301;0.0663827	0.128331:-31.7605,64.0193;-0.272722	0.108606:-66.3432,29.7895;1.22814	0.14577:-84.2841,-64.8627;-1.19126	0.153976:-32.6627,47.0023;0.959071	
0.17831:53.0804,81.208;0.952421	0.155397:-11.0978,21.6624;0.751021	0.163571:43.5555,-71.3911;1.26632	0.180418:-62.8994,-19.7322;-0.719966	0.151293:61.5099,29.8419;1.39692	0.197278:-49.382,46.8535;0.0680025	0.128331:-31.8155,64.0796;-0.279374	0.108606:-66.4599,29.7199;1.25808	0.14577:-84.2085,-65.1678;-1.22033	0.153976:-32.8508,46.8795;0.982459	
0.17831:52.9228,81.1813;0.975095	0.155397:-11.2544,21.5646;0.768902	0.163571:43.5578,-71.3842;1.29648	0.180418:-62.7625,-19.7302;-0.737108	0.151293:61.3596,30.016;1.43017	0.197278:-49.5696,46.6769;0.0696222	0.128331:-31.8704,64.1399;-0.286025	0.108606:-66.5766,29.6503;1.28803	0.14577:-84.133,-65.473;-1.24939	0.153976:-33.0388,46.7566;1.00585	
0.17831:52.7653,81.1546;0.997769	0.155397:-11.411,21.4667;0.786784	0.163571:43.5601,-71.3774;1.32664	0.180418:-62.6255,-19.7283;-0.75425	0.151293:61.2093,30.1902;1.46343	0.197278:-49.7573,46.5002;0.071242	0.128331:-31.9253,64.2002;-0.292677	0.108606:-66.6933,29.5806;1.31797	0.14577:-84.0575,-65.7782;-1.27845	0.153976:-33.2269,46.6338;1.02924	
0.17831:52.6077,81.1279;1.02044	0.155397:-11.5676,21.3689;0.804665	0.163571:43.5624,-71.3705;1.3568	0.180418:-62.4886,-19.7264;-0.771392	0.151293:61.059,30.3643;1.49669	0.197278:-49.945,46.3236;0.0728617	0.128331:-31.9803,64.2604;-0.299329	0.108606:-66.8101,29.511;1.34792	0.14577:-83.9819,-66.0834;-1.30752	0.153976:-33.415,46.511;1.05263	
0.17831:52.4502,81.1012;1.04312	0.155397:-11.7242,21.271;0.822547	0.163571:43.5647,-71.3636;1.38696	0.180418:-62.3516,-19.7245;-0.788535	0.151293:60.9087,30.5385;1.52995	0.197278:-50.1327,46.147;0.0744815	0.128331:-32.0352,64.3207;-0.305981	0.108606:-66.9268,29.4415;1.37786	0.14577:-83.9064,-66.3885;-1.33658	0.153976:-33.603,46.3881;1.07601	
0.17831:52.2926,81.0744;1.06579	0.155397:-11.8808,21.1732;0.840428	0.163571:43.567,-71.3568;1.41712	0.180418:-62.2147,-19.7226;-0.805677	0.151293:60.7584,30.7126;1.56321	0.197278:-50.3204,45.9704;0.0761012	0.128331:-32.0901,64.381;-0.312633	0.108606:-67.0435,29.3721;1.40781	0.14577:-83.8309,-66.6937;-1.36564	0.153976:-33.7911,46.2653;1.0994	
