10
0.17831:53.2129,81.2034;0.929683	0.155397:-10.9429,21.7546;0.733138	0.163571:43.5532,-71.4292;1.23617	0.180418:-63.0912,-19.7486;-0.702829	0.151293:61.6797,29.6599;1.36391	0.197278:-49.2068,47.0145;0.0663928	0.128331:-31.7516,64.0159;-0.272724	0.108606:-66.3457,29.7989;1.22795	0.14577:-84.2528,-64.8562;-1.19127	0.153976:-32.6619,47.0136;0.959007	
0.17831:53.055,81.1759;0.952356	0.155397:-11.0994,21.6566;0.75102	0.163571:43.5555,-71.4231;1.26631	0.180418:-62.9546,-19.747;-0.719971	0.151293:61.5294,29.8339;1.39719	0.197278:-49.3945,46.8375;0.068011	0.128331:-31.8066,64.0754;-0.279376	0.108606:-66.4617,29.7294;1.25789	0.14577:-84.1765,-65.1614;-1.22031	0.153976:-32.8496,46.8907;0.982396	
0.17831:52.8971,81.1485;0.97503	0.155397:-11.256,21.5586;0.768901	0.163571:43.5578,-71.417;1.29645	0.180418:-62.818,-19.7455;-0.737113	0.151293:61.3791,30.0078;1.43047	0.197278:-49.5822,46.6605;0.0696293	0.128331:-31.8615,64.1349;-0.286028	0.108606:-66.5776,29.66;1.28784	0.14577:-84.1002,-65.4666;-1.24935	0.153976:-33.0373,46.7679;1.00579	
0.17831:52.7392,81.121;0.997704	0.155397:-11.4126,21.4605;0.786783	0.163571:43.5601,-71.4109;1.32658	0.180418:-62.6815,-19.744;-0.754256	0.151293:61.2288,30.1818;1.46376	0.197278:-49.7699,46.4835;0.0712476	0.128331:-31.9164,64.1944;-0.29268	0.108606:-66.6936,29.5906;1.31779	0.14577:-84.0239,-65.7717;-1.27839	0.153976:-33.2249,46.6451;1.0292	
0.17831:52.5812,81.0935;1.0204	0.155397:-11.5692,21.3625;0.804664	0.163571:43.5624,-71.4048;1.35672	0.180418:-62.5449,-19.7425;-0.771398	0.151293:61.0785,30.3557;1.49704	0.197278:-49.9575,46.3065;0.0728658	0.128331:-31.9714,64.2539;-0.299332	0.108606:-66.8096,29.5211;1.34773	0.14577:-83.9476,-66.0769;-1.30743	0.153976:-33.4126,46.5222;1.05262	
0.17831:52.4233,81.0661;1.0431	0.155397:-11.7258,21.2644;0.822545	0.163571:43.5647,-71.3987;1.38685	0.180418:-62.4083,-19.7409;-0.78854	0.151293:60.9282,30.5297;1.53032	0.197278:-50.1452,46.1295;0.0744841	0.128331:-32.0263,64.3134;-0.305984	0.108606:-66.9255,29.4517;1.37768	0.14577:-83.8713,-66.3821;-1.33647	0.153976:-33.6003,46.3994;1.07603	
0.17831:52.2654,81.0386;1.06579	0.155397:-11.8824,21.1664;0.840427	0.163571:43.567,-71.3926;1.41699	0.180418:-62.2718,-19.7394;-0.805682	0.151293:60.7779,30.7036;1.56361	0.197278:-50.3329,45.9525;0.0761024	0.128331:-32.0812,64.3729;-0.312636	0.108606:-67.0415,29.3823;1.40762	0.14577:-83.795,-66.6873;-1.36551	0.153976:-33.788,46.2766;1.09944	
0.17831:52.1074,81.0111;1.08849	0.155397:-12.039,21.0684;0.858308	0.163571:43.5693,-71.3865;1.44713	0.180418:-62.1352,-19.7379;-0.822825	0.151293:60.6276,30.8776;1.59689	0.197278:-50.5206,45.7755;0.0777206	0.128331:-32.1362,64.4324;-0.319287	0.108606:-67.1575,29.3129;1.43757	0.14577:-83.7187,-66.9924;-1.39455	0.153976:-33.9757,46.1537;1.12285	
0.17831:51.9495,80.9837;1.11119	0.155397:-12.1956,20.9703;0.87619	0.163571:43.5715,-71.3804;1.47726	0.180418:-61.9986,-19.7364;-0.839967	0.151293:60.4773,31.0515;1.63017	0.197278:-50.7083,45.5984;0.0793389	0.128331:-32.1911,64.4919;-0.325939	0.108606:-67.2734,29.2434;1.46751	0.14577:-83.6424,-67.2976;-1.42359	0.153976:-34.1634,46.0312;1.14627	
0.17831:51.7916,80.9562;1.13389	0.155397:-12.3522,20.8723;0.894071	0.163571:43.5738,-71.3743;1.5074	0.180418:-61.8621,-19.7348;-0.857109	0.151293:60.327,31.2255;1.66346	0.197278:-50.896,45.4214;0.0809572	0.128331:-32.246,64.5514;-0.332591	0.108606:-67.3894,29.174;1.49746	0.14577:-83.5661,-67.6028;-1.45263	0.153976:-34.351,45.9091;1.16968	
0.17831:51.6337,80.9287;1.15658	0.155397:-12.5088,20.7743;0.911952	0.163571:43.5761,-71.3682;1.53754	0.180418:-61.7255,-19.7333;-0.874252	0.151293:60.1767,31.3994;1.69674	0.197278:-51.0836,45.2444;0.0825754	0.128331:-32.301,64.611;-0.339243	0.108606:-67.5054,29.1046;1.5274	0.14577:-83.4898,-67.908;-1.48166	0.153976:-34.5387,45.7871;1.19309	
0.17831:51.4757,80.9013;1.17928	0.155397:-12.6654,20.6762;0.929834	0.163571:43.5784,-71.3621;1.56767	0.180418:-61.589,-19.7318;-0.891394	0.151293:60.0264,31.5734;1.73002	0.197278:-51.2713,45.0674;0.0841937	0.128331:-32.3559,64.6705;-0.345895	0.108606:-67.6213,29.0352;1.55735	0.14577:-83.4135,-68.2132;-1.5107	0.153976:-34.7264,45.665;1.2165	
0.17831:51.3178,80.8738;1.20198	0.155397:-12.822,20.5782;0.947715	0.163571:43.5807,-71.356;1.59781	0.180418:-61.4524,-19.7303;-0.908536	0.151293:59.8761,31.7473;1.76331	0.197278:-51.459,44.8904;0.085812	0.128331:-32.4108,64.73;-0.352547	0.108606:-67.7373,28.9657;1.58729	0.14577:-83.3372,-68.5183;-1.53974	0.153976:-34.9141,45.5429;1.23992	
0.17831:51.1599,80.8463;1.22468	0.155397:-12.9786,20.4801;0.965596	0.163571:43.583,-71.3499;1.62794	0.180418:-61.3158,-19.7287;-0.925679	0.151293:59.7258,31.9213;1.79659	0.197278:-51.6467,44.7134;0.0874302	0.128331:-32.4658,64.7895;-0.359199	0.108606:-67.8533,28.8963;1.61724	0.14577:-83.261,-68.8235;-1.56878	0.153976:-35.1018,45.4209;1.26333	
0.17831:51.0019,80.8189;1.24737	0.155397:-13.1352,20.3821;0.983478	0.163571:43.5853,-71.3438;1.65808	0.180418:-61.1793,-19.7272;-0.942821	0.151293:59.5755,32.0952;1.82987	0.197278:-51.8344,44.5364;0.0890485	0.128331:-32.5207,64.849;-0.365851	0.108606:-67.9692,28.8269;1.64718	0.14577:-83.1847,-69.1287;-1.59782	0.153976:-35.2895,45.2988;1.28674	
0.17831:50.844,80.7914;1.27007	0.155397:-13.2918,20.2842;1.00136	0.163571:43.5876,-71.3377;1.68822	0.180418:-61.0427,-19.7257;-0.959963	0.151293:59.4252,32.2692;1.86315	0.197278:-52.022,44.3594;0.0906668	0.128331:-32.5756,64.9085;-0.372503	0.108606:-68.0852,28.7574;1.67713	0.14577:-83.1084,-69.4339;-1.62686	0.153976:-35.4771,45.1767;1.31016	
0.17831:50.6861,80.7639;1.29277	0.155397:-13.4483,20.1865;1.01924	0.163571:43.5899,-71.3316;1.71835	0.180418:-60.9061,-19.7242;-0.977105	0.151293:59.2749,32.4431;1.89644	0.197278:-52.2097,44.1824;0.092285	0.128331:-32.6306,64.968;-0.379154	0.108606:-68.2012,28.688;1.70708	0.14577:-83.0321,-69.739;-1.6559	0.153976:-35.6648,45.0547;1.33357	
0.17831:50.5282,80.7365;1.31547	0.155397:-13.605,20.0888;1.03712	0.163571:43.5921,-71.3255;1.74849	0.180418:-60.7696,-19.7226;-0.994248	0.151293:59.1246,32.6171;1.92972	0.197278:-52.3974,44.0054;0.0939033	0.128331:-32.6855,65.0275;-0.385806	0.108606:-68.3171,28.6186;1.73702	0.14577:-82.9558,-70.0442;-1.68494	0.153976:-35.8525,44.9326;1.35698	
0.17831:50.3702,80.709;1.33816	0.155397:-13.7618,19.9912;1.055	0.163571:43.5944,-71.3194;1.77862	0.180418:-60.633,-19.7211;-1.01137	0.151293:58.9743,32.791;1.963	0.197278:-52.5851,43.8284;0.0955216	0.128331:-32.7404,65.087;-0.392458	0.108606:-68.4331,28.5492;1.76697	0.14577:-82.8795,-70.3494;-1.71398	0.153976:-36.0402,44.8105;1.38039	
0.17831:50.2123,80.6815;1.36086	0.155397:-13.9185,19.8935;1.07288	0.163571:43.5967,-71.3133;1.80876	0.180418:-60.4964,-19.7196;-1.02849	0.151293:58.824,32.965;1.99629	0.197278:-52.7728,43.6514;0.0971398	0.128331:-32.7954,65.1465;-0.39911	0.108606:-68.5491,28.4797;1.79691	0.14577:-82.8032,-70.6546;-1.74302	0.153976:-36.2279,44.6884;1.40381	
0.17831:50.0544,80.6541;1.38356	0.155397:-14.0753,19.7959;1.09077	0.163571:43.599,-71.3072;1.8389	0.180418:-60.3599,-19.718;-1.04561	0.151293:58.6737,33.1389;2.02957	0.197278:-52.9605,43.4744;0.0987581	0.128331:-32.8503,65.206;-0.405762	0.108606:-68.665,28.4103;1.82686	0.14577:-82.7269,-70.9597;-1.77206	0.153976:-36.4156,44.5664;1.42722	
0.17831:49.8964,80.6266;1.40626	0.155397:-14.2321,19.6982;1.10865	0.163571:43.6013,-71.3011;1.86903	0.180418:-60.2233,-19.7165;-1.06273	0.151293:58.5234,33.3129;2.06285	0.197278:-53.1481,43.2974;0.100376	0.128331:-32.9052,65.2656;-0.412414	0.108606:-68.781,28.3409;1.8568	0.14577:-82.6506,-71.2649;-1.8011	0.153976:-36.6032,44.4443;1.45063	
